
2024/09/26 (17:20:51) | ===> btop++ v.1.3.2
2024/09/26 (17:20:51) | INFO: Logger set to INFO
2024/09/26 (17:20:51) | INFO: Logger set to DEBUG
2024/09/26 (17:20:52) | INFO: Logger set to INFO
2024/09/26 (17:20:53) | INFO: Logger set to DEBUG
2024/09/26 (17:20:54) | INFO: Logger set to INFO

2024/10/09 (08:24:32) | ===> btop++ v.1.4.0
2024/10/09 (08:24:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (08:59:15) | ===> btop++ v.1.4.0
2024/10/09 (08:59:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (08:59:54) | ===> btop++ v.1.4.0
2024/10/09 (08:59:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (09:00:08) | ===> btop++ v.1.4.0
2024/10/09 (09:00:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (09:02:03) | ===> btop++ v.1.4.0
2024/10/09 (09:02:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (10:37:50) | ===> btop++ v.1.4.0
2024/10/09 (10:37:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (18:57:43) | ===> btop++ v.1.4.0
2024/10/10 (18:57:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (19:11:14) | ===> btop++ v.1.4.0
2024/10/10 (19:11:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (19:11:24) | ===> btop++ v.1.4.0
2024/10/10 (19:11:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (19:11:28) | ===> btop++ v.1.4.0
2024/10/10 (19:11:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (19:34:11) | ===> btop++ v.1.4.0
2024/10/10 (19:34:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (13:45:05) | ===> btop++ v.1.4.0
2024/10/12 (13:45:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (22:51:28) | ===> btop++ v.1.4.0
2024/10/12 (22:51:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (23:46:02) | ===> btop++ v.1.4.0
2024/10/12 (23:46:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (10:39:45) | ===> btop++ v.1.4.0
2024/10/13 (10:39:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (00:53:12) | ===> btop++ v.1.4.0
2024/10/14 (00:53:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (00:54:25) | ===> btop++ v.1.4.0
2024/10/14 (00:54:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (21:33:41) | ===> btop++ v.1.4.0
2024/10/14 (21:33:41) | WARNING: Intel GPU: Failed to initialize PMU
